Year,Charge,Non_DAT,DAT
2018,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,367,654
2018,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,952,1
2018,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,438,464
2018,PL 1201401-MENACING-2ND:WEAPON,760,77
2018,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,715,15
2018,PL 1211100-CRIM OBSTRUCTION BREATHING    ,627,15
2018,PL 2053000-RESISTING ARREST,637,2
2018,PL 1401000-CRIMINAL TRESPASS-3RD,389,236
2018,PL 2214000-CRIM SALE MARIHUANA-4TH,565,9
2018,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,5224,1539
2018,PL 1552500-PETIT LARCENY,3899,1975
2018,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1276,2118
2018,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,557,1794
2018,PL 2200300-CRIM POSS CONTRL SUBST-7TH,1354,920
2018,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,1161,201
2018,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,847,283
2018,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,884,0
2018,PL 1201401-MENACING-2ND:WEAPON,760,109
2018,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,416,447
2018,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,682,5
2018,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,246,427
2018,PL 2053000-RESISTING ARREST,609,0
2018,PL 1211100-CRIM OBSTRUCTION BREATHING    ,589,19
2018,PL 2601001-ACT IN MANNER INJUR CHILD < 17,520,16
2018,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,5129,1369
2018,PL 1552500-PETIT LARCENY,4000,2053
2018,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1077,1868
2018,PL 2200300-CRIM POSS CONTRL SUBST-7TH,1589,1037
2018,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,1085,112
2018,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,821,260
2018,PL 1201401-MENACING-2ND:WEAPON,864,110
2018,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,317,574
2018,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,806,4
2018,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,381,380
2018,PL 1211100-CRIM OBSTRUCTION BREATHING    ,684,21
2018,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,652,9
2018,PL 2053000-RESISTING ARREST,643,0
2018,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,209,338
2018,PL 1552500-PETIT LARCENY,3777,1969
2018,PL 1200000-ASSAULT-3RD                   ,3754,1014
2018,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,866,1464
2018,PL 2200300-CRIM POSS CONTRL SUBST-7TH,1414,915
2018,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,1006,202
2018,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,1048,115
2018,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,862,2
2018,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,677,182
2018,PL 1201401-MENACING-2ND:WEAPON,723,87
2018,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,270,523
2018,PL 1211100-CRIM OBSTRUCTION BREATHING    ,583,15
2018,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,318,279
2018,PL 2053000-RESISTING ARREST,559,3
2019,PL 1552500-PETIT LARCENY,3703,1757
2019,PL 1200000-ASSAULT-3RD                   ,3685,932
2019,PL 2200300-CRIM POSS CONTRL SUBST-7TH,1595,902
2019,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,851,1405
2019,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,1122,216
2019,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,1186,96
2019,VTL05110MU-AGGRAVATED UNLIC OPER/MV-2ND  ,517,564
2019,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,791,215
2019,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,373,579
2019,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,837,1
2019,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,445,368
2019,PL 1201401-MENACING-2ND:WEAPON,686,67
2019,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,547,3
2019,PL 1211100-CRIM OBSTRUCTION BREATHING    ,532,10
2019,PL 2053000-RESISTING ARREST,540,0
2019,PL 1552500 PETIT LARCENY,3935,1764
2019,PL 1200000 ASSAULT-3RD,3102,820
2019,PL 1200001 ASLT W/INT CAUSES PHYS INJURY,2091,468
2019,PL 2200300 CRIM POSS CONTRL SUBST-7TH,1415,753
2019,VTL0511001 AGGRAVATED UNLIC OPER/MV-3RD,643,1088
2019,PL 1450001 CRIM MIS:INTENT DAMAGE PROPRTY,757,210
2019,PL 1651503 INTENT/FRAUD OBT TRANS W/O PAY,837,81
2019,VTL05110MU AGGRAVATED UNLIC OPER/MV-2ND,410,503
2019,PL 1201401 MENACING-2ND:WEAPON,811,88
2019,VTL051101A AGGRAVATED UNLIC OPER VEH-3RD,302,476
2019,VTL11920U2 OPER MV .08 OF 1% ALCOHOL-1ST,744,1
2019,PL 2053000 RESISTING ARREST,662,1
2019,PL 1211100 CRIM OBSTRUCTION BREATHING,561,31
2019,PL 2601001 ACT IN MANNER INJUR CHILD < 17,558,18
2019,PL 2155003 CRIM CONTEMPT-2ND:DISOBEY CRT,529,1
2019,PL 1200001 ASLT W/INT CAUSES PHYS INJURY ,5004,1205
2019,PL 1552500 PETIT LARCENY                 ,3867,1732
2019,PL 2200300 CRIM POSS CONTRL SUBST-7TH    ,1277,735
2019,VTL0511001 AGGRAVATED UNLIC OPER/MV-3RD  ,464,742
2019,PL 1450001 CRIM MIS:INTENT DAMAGE PROPRTY,761,250
2019,PL 1201401 MENACING-2ND:WEAPON           ,849,82
2019,PL 1651503 INTENT/FRAUD OBT TRANS W/O PAY,661,79
2019,VTL05110MU AGGRAVATED UNLIC OPER/MV-2ND  ,338,382
2019,PL 2053000 RESISTING ARREST              ,705,3
2019,PL 1211100 CRIM OBSTRUCTION BREATHING    ,662,24
2019,VTL11920U2 OPER MV .08 OF 1% ALCOHOL-1ST ,663,3
2019,VTL051101A AGGRAVATED UNLIC OPER VEH-3RD ,203,390
2019,PL 1950500 OBSTRUCT GOVERNMENTL ADMIN-2ND,529,11
2019,PL 2155003 CRIM CONTEMPT-2ND:DISOBEY CRT ,508,4
2019,PL 1200001 ASLT W/INT CAUSES PHYS INJURY ,4230,1130
2019,PL 1552500 PETIT LARCENY                 ,3086,1725
2019,PL 2200300 CRIM POSS CONTRL SUBST-7TH    ,1098,624
2019,VTL0511001 AGGRAVATED UNLIC OPER/MV-3RD  ,338,679
2019,PL 1450001 CRIM MIS:INTENT DAMAGE PROPRTY,652,208
2019,PL 1201401 MENACING-2ND:WEAPON           ,738,113
2019,VTL05110MU AGGRAVATED UNLIC OPER/MV-2ND  ,294,376
2019,PL 1651503 INTENT/FRAUD OBT TRANS W/O PAY,587,67
2019,VTL11920U2 OPER MV .08 OF 1% ALCOHOL-1ST ,620,4
2019,PL 1211100 CRIM OBSTRUCTION BREATHING    ,523,15
2020,PL 1200001 ASLT W/INT CAUSES PHYS INJURY ,3614,1503
2020,PL 1552500 PETIT LARCENY                 ,1883,2335
2020,PL 2200300 CRIM POSS CONTRL SUBST-7TH    ,737,1117
2020,VTL0511001 AGGRAVATED UNLIC OPER/MV-3RD  ,159,841
2020,PL 1450001 CRIM MIS:INTENT DAMAGE PROPRTY,573,240
2020,PL 1201401 MENACING-2ND:WEAPON           ,722,12
2020,VTL05110MU AGGRAVATED UNLIC OPER/MV-2ND  ,111,612
2020,VTL11920U2 OPER MV .08 OF 1% ALCOHOL-1ST ,592,0
2020,PL 2053000 RESISTING ARREST              ,353,161
2020,VTL051101A AGGRAVATED UNLIC OPER VEH-3RD ,91,422
2020,PL 1211100 CRIM OBSTRUCTION BREATHING    ,491,21
2020,PL 1200001 ASLT W/INT CAUSES PHYS INJURY,2768,994
2020,PL 1552500 PETIT LARCENY,887,1383
2020,PL 2200300 CRIM POSS CONTRL SUBST-7TH,251,621
2020,PL 1450001 CRIM MIS:INTENT DAMAGE PROPRTY,462,251
2020,PL 1201401 MENACING-2ND:WEAPON,619,19
2020,PL 1200001 ASLT W/INT CAUSES PHYS INJURY ,2930,957
2020,PL 1552500 PETIT LARCENY                 ,813,1210
2020,PL 1450001 CRIM MIS:INTENT DAMAGE PROPRTY,461,234
2020,PL 2200300 CRIM POSS CONTRL SUBST-7TH    ,157,527
2020,PL 1201401 MENACING-2ND:WEAPON           ,661,10
2020,PL 1200001 ASLT W/INT CAUSES PHYS INJURY ,3355,1002
2020,PL 1552500 PETIT LARCENY                 ,1150,1712
2020,PL 2200300 CRIM POSS CONTRL SUBST-7TH    ,231,743
2020,PL 1201401 MENACING-2ND:WEAPON           ,804,15
2020,PL 1450001 CRIM MIS:INTENT DAMAGE PROPRTY,537,268
2020,VTL0511001 AGGRAVATED UNLIC OPER/MV-3RD  ,90,492
2020,PL 1702000 POSSESS  FORGED INSTRUMENT-3RD,48,489
2021,PL 1200001 ASLT W/INT CAUSES PHYS INJURY,3501,1027
2021,PL 1552500 PETIT LARCENY,1100,1799
2021,PL 2200300 CRIM POSS CONTRL SUBST-7TH,302,1019
2021,PL 1702000 POSSESS  FORGED INSTRUMENT-3RD,50,846
2021,VTL0511001 AGGRAVATED UNLIC OPER/MV-3RD,79,777
2021,PL 1201401 MENACING-2ND:WEAPON,786,19
2021,PL 1450001 CRIM MIS:INTENT DAMAGE PROPRTY,520,251
2021,PL 2403002 AGG HAR-2ND:TELEPHONE,479,64
2021,PL 1200001 ASLT W/INT CAUSES PHYS INJURY ,3426,1143
2021,PL 1201401 MENACING-2ND:WEAPON           ,823,25
2021,PL 1450001 CRIM MIS:INTENT DAMAGE PROPRTY,512,246
2021,PL 1552500 PETIT LARCENY                 ,1138,1671
2021,PL 1702000 POSSESS  FORGED INSTRUMENT-3RD,37,693
2021,PL 2200300 CRIM POSS CONTRL SUBST-7TH    ,245,610
2021,VTL0511001 AGGRAVATED UNLIC OPER/MV-3RD  ,82,533
2021,PL 1200001 ASLT W/INT CAUSES PHYS INJURY ,3986,1219
2021,PL 1552500 PETIT LARCENY                 ,1694,1708
2021,PL 2200300 CRIM POSS CONTRL SUBST-7TH    ,340,681
2021,PL 1201401 MENACING-2ND:WEAPON           ,892,26
2021,PL 1450001 CRIM MIS:INTENT DAMAGE PROPRTY,633,252
2021,PL 1702000 POSSESS  FORGED INSTRUMENT-3RD,56,696
2021,VTL0511001 AGGRAVATED UNLIC OPER/MV-3RD  ,97,624
2021,PL 1211100 CRIM OBSTRUCTION BREATHING    ,545,26
2021,PL 1200001 ASLT W/INT CAUSES PHYS INJURY ,3727,1232
2021,PL 1552500 PETIT LARCENY                 ,1995,2038
2021,PL 2200300 CRIM POSS CONTRL SUBST-7TH    ,403,595
2021,PL 1201401 MENACING-2ND:WEAPON           ,854,19
2021,PL 1450001 CRIM MIS:INTENT DAMAGE PROPRTY,608,233
2021,VTL0511001 AGGRAVATED UNLIC OPER/MV-3RD  ,87,633
2021,PL 1702000 POSSESS  FORGED INSTRUMENT-3RD,27,630
2021,PL 1211100 CRIM OBSTRUCTION BREATHING    ,522,26
2021,PL 2601001 ACT IN MANNER INJUR CHILD < 17,515,18
2022,PL 1200001 ASLT W/INT CAUSES PHYS INJURY,4137,1144
2022,PL 1552500 PETIT LARCENY,2720,2028
2022,PL 2200300 CRIM POSS CONTRL SUBST-7TH,477,622
2022,PL 1702000 POSSESS  FORGED INSTRUMENT-3RD,78,952
2022,PL 1201401 MENACING-2ND:WEAPON,918,22
2022,PL 1450001 CRIM MIS:INTENT DAMAGE PROPRTY,655,214
2022,VTL0511001 AGGRAVATED UNLIC OPER/MV-3RD,137,586
2022,PL 2403002 AGG HAR-2ND:TELEPHONE,563,40
2022,PL 2601001 ACT IN MANNER INJUR CHILD < 17,533,22
2022,PL 1211100 CRIM OBSTRUCTION BREATHING,518,16
2022,PL 1200001 ASLT 3-W/INT CAUSE PHYS INJURY,4726,1041
2022,PL 1552500 PETIT LARCENY,3792,1376
2022,PL 1201401 MENACING-2ND:WEAPON,1161,4
2022,PL 2200300 CRIM POSS CONTRL SUBST-7TH,647,454
2022,PL 1702000 POSSESS  FORGED INSTRUMENT-3RD,94,883
2022,PL 1450001 CRIM MIS:INTENT DAMAGE PROPRTY,724,212
2022,VTL0511001 AGGRAVATED UNLIC OPER MV-3RD,204,676
2022,PL 2403002 AGG HARASS 2 -THREAT BY PHONE,639,36
2022,PL 1211100 CRIM OBSTRUCTION BREATHING,614,16
2022,PL 1651503 INTENT/FRAUD OBT TRANS W/O PAY,434,181
2022,PL 2601001 ACT IN MANNER INJUR CHILD < 17,591,18
2022,PL 1200001 ASLT 3-W/INT CAUSE PHYS INJURY,4536,919
2022,PL 1552500 PETIT LARCENY                 ,4077,1238
2022,PL 1201401 MENACING-2ND:WEAPON           ,1160,7
2022,PL 2200300 CRIM POSS CONTRL SUBST-7TH    ,613,453
2022,VTL0511001 AGGRAVATED UNLIC OPER MV-3RD  ,231,722
2022,PL 1450001 CRIM MIS:INTENT DAMAGE PROPRTY,656,179
2022,PL 1702000 POSSESS  FORGED INSTRUMENT-3RD,73,658
2022,PL 1211100 CRIM OBSTRUCTION BREATHING    ,594,16
2022,PL 2601001 ACT IN MANNER INJUR CHILD < 17,553,12
2022,PL 1651503 INTENT/FRAUD OBT TRANS W/O PAY,411,137
2022,PL 2403002 AGG HARASS 2 -THREAT BY PHONE ,495,27
